UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,clean_text
14,44966,,04-03-2020,"#Covid_19 Went to the Grocery Store, turns out all cleaning supplies have been bought out for fear of Coronavirus.

My daughter's substitute teacher showed her class how to make hand sanitizer. Now I just need to buy some 100% alcohol. Wish me luck that any stores will have it.",Extremely Positive,Went Grocery Store turns cleaning supplies bought fear Coronavirus daughters substitute teacher showed class make hand sanitizer need buy 100 alcohol Wish luck stores
15,44967,"Washington, DC",04-03-2020,"While we were busy watching election returns and bracing for a Covid-19 outbreak, Trump nominated a chemical-industry lobbyist to head the Consumer Product Safety Commission https://t.co/M2ShHI1Tn0",Positive,busy watching election returns bracing Covid19 outbreak Trump nominated chemicalindustry lobbyist head Consumer Product Safety Commission
16,44968,Bengaluru ,04-03-2020,"#AirSewa 

@flyspicejet is not providing #webchecin customers free seats.

Passengers are forced to choose paid seats as free seats are made available only at airport counter. 

This should be stopped as its discriminatory and against travellers rights 

@HardeepSPuri @MoCA_GoI",Extremely Negative,providing customers free seats Passengers forced choose paid seats free seats made available airport counter stopped discriminatory travellers rights
17,44969,Mumbai,05-03-2020,"What Precautionary measures have you all taken in your respective Restaurants and Hotels, Comment below...
#COVID-19 #Coronavirus

COVID-19: Hotel chains enforce precautionary measures, issue safety, hygiene advisories
https://t.co/7Zo2vqSPzY",Extremely Positive,Precautionary measures taken respective Restaurants Hotels Comment 19 COVID19 Hotel chains enforce precautionary measures issue safety hygiene advisories
18,44970,"Toronto, Ontario",05-03-2020,"When youre stockpiling food &amp; other supplies, buy extra for your local food bank. Many families dont have the luxury to spend beyond their weekly budget. @DailyBreadTO  #coronavirus",Neutral,youre stockpiling food amp supplies buy extra local food bank Many families dont luxury spend beyond weekly budget
19,44971,,05-03-2020,"That's about a week from now. A bit optimistic.  Probably it will take another month.  Supply chain may be recovering, demand chain will be non-existent in US and Europe for the next month or two.
$spx $qqq $es $nq https://t.co/yXcOfL0BnI",Positive,Thats week bit optimistic Probably take another month Supply chain may recovering demand chain nonexistent US Europe next month two spx qqq es nq
20,44972,Tallahassee,05-03-2020,"Studies show the #coronavirus like #COVID19 can live up to nine days on hard surfaces like metal, plastic, and glass.

Our Deputy Commissioner of Consumer Affairs Mary Barzee Flores shows you how to keep clean at the gas pump.

Watch and share? https://t.co/AIqATWT5zz",Extremely Positive,Studies show like live nine days hard surfaces like metal plastic glass Deputy Commissioner Consumer Affairs Mary Barzee Flores shows keep clean gas pump Watch share
21,44973,Malta,05-03-2020,"#CoronaVirus #COVID_19 People are starting to become frightened and to do #PanicShopping. Many shelves, meanwhile, turn empty as #goods are sold. #FaceMasks &amp; disinfection liquid are sold out, or they are sold for exorbitant prices! #Blockchain #CryptoNews https://t.co/AkR3lmLEKf",Negative,People starting become frightened Many shelves meanwhile turn empty sold amp disinfection liquid sold sold exorbitant prices
22,44974,"Texas, USA",05-03-2020,"For those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  How many people at your grocery store or gas station touch this keypad every day? https://t.co/WVq8bb9OlS",Extremely Positive,think creditdebit good comes combating keep mind contactless transaction many people grocery store gas station touch keypad every day
23,44975,"Florida, USA",06-03-2020,Control over stocks and gold is lost...gold coming back very nicely! Loves wallbridge and Balmoral and warns listeners about #coronavirus Sprott Money Ltd. recently put in money to $OCG $GENM $MMG and many more... https://t.co/3aURZ2e4Sj,Extremely Positive,Control stocks gold lostgold coming back nicely Loves wallbridge Balmoral warns listeners Sprott Money Ltd recently put money OCG GENM MMG many
24,44976,Chandigarh,06-03-2020,"Sellers are cashing on your panic to sell facemasks and sanitizers at super inflated prices.

In reality, neither sanitizer nor facemasks are ""must have"" to save yourself from #coronavirus. 

Please watch this video for more :

https://t.co/sgOFnAu4j8",Extremely Positive,Sellers cashing panic sell facemasks sanitizers super inflated prices reality neither sanitizer facemasks must save Please watch video
25,44977,Canada,07-03-2020,"Canada's oilpatch is bracing for the impact of plunging crude prices after OPEC and its allies failed to reach a deal aimed at cutting production as economies slow because of the novel #coronavirus. The fool @Jkenney based his budget on hired oil prices 

https://t.co/fDCpQPvPuo",Extremely Negative,Canadas oilpatch bracing impact plunging crude prices OPEC allies failed reach deal aimed cutting production economies slow novel fool based budget hired oil prices
26,44978,"Wayne County, MI",07-03-2020,"Alright yall I hope our Melanin prevails but just in case I took some precautions I had some food &amp; water delivered. ????? Ive had my masks for a month and may have to open soon! 
?? #B1 #FBA 

#CoronavirusUSA #COVID https://t.co/cTQMDgDgtD",Positive,Alright yall hope Melanin prevails case took precautions food amp water delivered Ive masks month may open soon
27,44979,"Bondi Beach, Sydney",07-03-2020,When your usual grocery shopping @woolworths turns into a toilet paper fight in the supermarket aisle. Yikes. #toiletpaperpanic for the #coronavirus has taken a whole new level. https://t.co/aKJ283I20C,Negative,usual grocery shopping turns toilet paper fight supermarket aisle Yikes taken whole new level
28,44980,,07-03-2020,"Coronavirus panic spreads: Costco is pulling free samples over COVID-19 - USA TODAY

Coronavirus panic spreads: Costco is pulling free samples over COVID-19  USA TODAY

'It's pandemonium': virus panic-buying hits Los Angeles  Yahoo News

How Costco is Ha https://t.co/MyTDpDomEI",Negative,Coronavirus panic spreads Costco pulling free samples COVID19 USA TODAY Coronavirus panic spreads Costco pulling free samples COVID19 USA TODAY pandemonium virus panicbuying hits Los Angeles Yahoo News Costco Ha
29,44981,,07-03-2020,"While you are stocking up, waiting for quarantine, if you can don't forget to donate  food, water, and toiletries to your local food banks to help others without the means to stock up. Get ahead of it before it becomes a crisis. #covid19 #coronavirus",Negative,stocking waiting quarantine dont forget donate food water toiletries local food banks help others without means stock Get ahead becomes crisis
30,44982,United States,07-03-2020,"#Coronavirus is ""an exposure of all the holes in the social safety net,"" says NELP Government Affairs Director Judy Conti

#UI #Unemployment #PaidLeaveForAll
https://t.co/BrCY9IJWSv",Positive,exposure holes social safety net says NELP Government Affairs Director Judy Conti
31,44983,"New York, New York",07-03-2020,"Two important phone numbers NYers should know. If you have no doctor or insurance and think you may be sick and need to be tested for #coronavirus, call the state's helpline: 1-888-364-3065. To report price gouging, call the Div. of Consumer Protection at 1-800-697-1220.",Negative,Two important phone numbers NYers know doctor insurance think may sick need tested call states helpline 18883643065 report price gouging call Div Consumer Protection 18006971220
32,44984,"London, England",08-03-2020,"Tip for all Pro Wrestlers to help combat the #coronavirus...be more like @ZoeLucasPro and bring hand sanitizer to your matches as a precaution

#EVEWrestling @ProWrestlingEVE https://t.co/SUYUsaPm7j",Extremely Positive,Tip Pro Wrestlers help combat like bring hand sanitizer matches precaution
33,44985,USA,08-03-2020,"Is this effective?
Is it necessary?
Or is it just optics?
Scare tactics?
For the American consumer?
For US MSM to use?
If optics, What is the intended effect?
Fear?
Crash US Market-&gt;panic-&gt;elect Biden

#Qanon #coronavirus https://t.co/H48ZMfuAme",Extremely Negative,effective necessary optics Scare tactics American consumer US MSM use optics intended effect Fear Crash US Marketgtpanicgtelect Biden
34,44986,"Toronto, Ontario",08-03-2020,"IMHO Russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. How? Corp debt collapse, led by high yield and fracking, compounded by COVID-19, will mean Fed and US Govt respond with #MMT. Ciao dollar. Alt is collapse. Got #Gold or #Silver yet?",Extremely Negative,IMHO Russias rug pull oil prices designed end dollar global reserve currency Corp debt collapse led high yield fracking compounded COVID19 mean Fed US Govt respond Ciao dollar Alt collapse Got yet
35,44987,"Angmering, West Sussex",08-03-2020,So not due to #Brexit at all then &gt;&gt; Supermarkets begin #foodrationing after wave of #coronavirus-fuelled panic buying https://t.co/AKgkHxO0tW,Neutral,due gtgt Supermarkets begin wave fuelled panic buying
36,44988,"Dont ask for freedom, take it.",08-03-2020,"Remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc.

We've still got Brexit, Austerity, poverty, a crashing economy &amp; the worst UK Govt in living memory. 

All depressing stuff &amp; it aint gonna end well.",Extremely Negative,Remember media deflection stories bog rolls panicbuying food shortages Covid19 Irish bridges etc etc Weve still got Brexit Austerity poverty crashing economy amp worst UK Govt living memory depressing stuff amp aint gon na end well
37,44989,"New York, NY",08-03-2020,"Fellow Uni instructors! COVID-19 f2f class cancelations are  inconvenient! But remember you're salaried employees. Maybe call/email HR or your union &amp; demand to know how hourly workers (clerical, food-service, custodial, etc) will be  compensated during campus closures?",Negative,Fellow Uni instructors COVID19 f2f class cancelations inconvenient remember youre salaried employees Maybe callemail HR union amp demand know hourly workers clerical foodservice custodial etc compensated campus closures
38,44990,,08-03-2020,"@howroute Its not even over food... what the actual heck?? I have news for these people ... 

you need food and water before you need the paper to wipe your a$$. Just sayin.. ? 

#covid19 #Covid_19 #coronavirus #corona #virus #panic",Neutral,even food actual heck news people need food water need paper wipe sayin
39,44991,"Sydney, New South Wales",08-03-2020,"1/25 Part 1 - Why does soap work so well on the SARS-CoV-2, the coronavirus and indeed most viruses? Because it is a self-assembled nanoparticle in which the weakest link is the lipid (fatty) bilayer. A two part thread about soap, viruses and supramolecular chemistry #COVID19 https://t.co/OCwqPjO5Ht",Negative,125 Part 1 soap work well SARSCoV2 coronavirus indeed viruses selfassembled nanoparticle weakest link lipid fatty bilayer two part thread soap viruses supramolecular chemistry
40,44992,Socially Distanced in NC,08-03-2020,"Thread: Please STOP shaming folks who stock up on food and personal care products ahead of #CoronaVirus #COVID19. #Trump made it clear that he doesnt care and wont help, so theyre protecting their families their way. Its a tiny bit of mastery and control in terrifying times. https://t.co/12eMup9mtA",Extremely Positive,Thread Please STOP shaming folks stock food personal care products ahead made clear doesnt care wont help theyre protecting families way tiny bit mastery control terrifying times
41,44993,"Michigan, USA",09-03-2020,"For those thinking #seniors #disabled &amp; #vets shouldnt be included in any @realDonaldTrump aid package because of #Covid_19 #coronavirus check prices on antibacterial soaps, disinfectant safer transportation other than crowded city busses list goes on @SenStabenow @RashidaTlaib",Positive,thinking amp shouldnt included aid package check prices antibacterial soaps disinfectant safer transportation crowded city busses list goes
42,44994,Pennsylvania,09-03-2020,"So far 36 Pennsylvanians have reached out to my Office to report inflated prices on everything from disinfectant spray to liquid soap.
 
Price gouging like this isnt just wrong, its illegal. Keep your emails coming: pricegouging@attorneygeneral.gov #coronavirus",Negative,far 36 Pennsylvanians reached Office report inflated prices everything disinfectant spray liquid soap Price gouging like isnt wrong illegal Keep emails coming pricegouginggov
43,44995,Kolkata?? and Dhaka??,09-03-2020,"Global stock markets continued their bear run as #DowJones and S&amp;P500 plunged as they opened on Monday. Plunge was largely on the back of the 30% overnight slump in #CrudeOil prices, along with the persistent concerns over the impact of #CoronaVirus on the global #economy.",Neutral,Global stock markets continued bear run SampP500 plunged opened Monday Plunge largely back 30 overnight slump prices along persistent concerns impact global
44,44996,"Washington, D.C.",09-03-2020,Scammers are taking advantage of fears surrounding the #Coronavirus. Here are some tips to help you keep scammers at bay: https://t.co/Yt892bgnBu #COVID2019 https://t.co/kmILU80H6h,Positive,Scammers taking advantage fears surrounding tips help keep scammers bay
45,44997,"Burnaby, British Columbia",09-03-2020,"Are you doing business in international markets? This @ExportDevCanada webinar will show you how to navigate todays exporting challenges and rising commodity prices due to the COVID-19 virus.

https://t.co/pDBUlOnAEI",Positive,business international markets webinar show navigate todays exporting challenges rising commodity prices due COVID19 virus
46,44998,"Manhattan, NY",09-03-2020,"For those in gig economy who only earn if ppl are going out, we can immediately process refunds for 2019 Earned Income Tax Credit or Child Tax Credit - or they can borrow against 2020 credits. That cash can help make ends meet until normal consumer behavior returns #coronavirus",Extremely Positive,gig economy earn ppl going immediately process refunds 2019 Earned Income Tax Credit Child Tax Credit borrow 2020 credits cash help make ends meet normal consumer behavior returns
47,44999,"Colorado, USA",09-03-2020,"I have instructed that insurance companies make COVID-19 testing free. This important step will help ensure cost barriers do not stand in the way of people getting tested. 

Read more: https://t.co/0VrdDfNPay https://t.co/9JdaVZw7ai",Extremely Positive,instructed insurance companies make COVID19 testing free important step help ensure cost barriers stand way people getting tested Read
48,45000,"Washington, DC",09-03-2020,The oil prices dipping has absolutely nothing to do with #COVID2019 it has everything to do with #OPEC talks collapsing and Saudi feuding with Russia. Celebrate and calm the hell down.. weirdos.,Extremely Negative,oil prices dipping absolutely nothing everything talks collapsing Saudi feuding Russia Celebrate calm hell weirdos
49,45001,United States,09-03-2020,"Global stocks plummeted today due to fear surrounding #COVID2019 and falling oil prices, which saw the biggest one-day drop since the 1991 Gulf War.

Let's look at how the major stock indices have been reacting to the news, based on their closing values. https://t.co/fV7IehqaDo",Extremely Negative,Global stocks plummeted today due fear surrounding falling oil prices saw biggest oneday drop since 1991 Gulf War Lets look major stock indices reacting news based closing values
50,45002,#NoNazis?? kaspum zaháv,09-03-2020,"The beginning of a  global recession!

#Coronavirus damaging health crisis?
#oil prices falling down?
US stocks falling down?
7% drop this morning &amp; trading halt?
#migration crisis at the EU borders 
#housingCrisis &amp; skyrocketing rents. Tenants are losing 50% of income?
#Q*",Extremely Negative,beginning global recession damaging health crisis prices falling US stocks falling 7 drop morning amp trading halt crisis EU borders amp skyrocketing rents Tenants losing 50 income
51,45003,Australia,09-03-2020,"@7NewsSydney @ScottMorrisonMP Some Factors have bought on the recession 1)Ignoring per-capita recession, 2)wage growth stagnant 3)Consumer debt levels are through the roof 4) casualized work! These changes in the economy are driven by government not #co",Extremely Negative,Factors bought recession 1Ignoring percapita recession 2wage growth stagnant 3Consumer debt levels roof 4 casualized work changes economy driven government
52,45004,USA|EUROPE|ASIA|GLOBAL??,09-03-2020,"Cuomo press conference...
New York is releasing new brand of state made had sanitizer prices from $0.80¢ - $6 a gallon!
#CoronaVirusUpdates #Corona #CoronavirusOutbreak #virus #COVID2019 #COVID19 #NYC

https://t.co/9jhElBwElZ",Neutral,Cuomo press conference New York releasing new brand state made sanitizer prices 080 6 gallon
53,45005,Colorado,09-03-2020,"Ignore online offers for #vaccinations. There currently are no vaccines, pills, potions, lotions, lozenges or other prescription or over-the-counter products available to treat or cure #Coronavirus disease 2019 (COVID-19)  online or in stores.

@FTC tips: https://t.co/Sqbf4LHB8H https://t.co/DX5po1KDqi",Negative,Ignore online offers currently vaccines pills potions lotions lozenges prescription overthecounter products available treat cure disease 2019 COVID19 online stores tips
54,45006,"Cambridgeshire, UK",09-03-2020,"If you are lucky enough to be sitting at home with enough food to get you through a period of self-isolation, please consider donating to the @TrussellTrust to help those who couldn't stock up even if they wanted to. #TrussellTrust #foodbanks #coronavirus #COVID19",Extremely Positive,lucky enough sitting home enough food get period selfisolation please consider donating help couldnt stock even wanted
55,45007,earth,09-03-2020,"@thehill Americans need to take it upon themselves to help avoid contracting covid-19.
Prep to self quarantine for 2 wks.
Stop unnecessary travel or crowd gatherings.
Talk to your employer about how to proceed w/o harm to your career.
Plan for sch",Extremely Negative,Americans need take upon help avoid contracting covid19 Prep self quarantine 2 wks Stop unnecessary travel crowd gatherings Talk employer proceed wo harm career Plan sch
56,45008,?? ???? ?????? . ??? ???? ???,09-03-2020,"@realDonaldTrump Separate Table of US Corna Virus Statistics.
 Very high stats of corona virus.
 US Government's Inability to Control Corona Virus.
 High Price Disinfectant Gel in USA High price of mask in USA. 
Food prices are rising day by day",Negative,Separate Table US Corna Virus Statistics high stats corona virus US Governments Inability Control Corona Virus High Price Disinfectant Gel USA High price mask USA Food prices rising day day
57,45009,"Texas, USA",10-03-2020,"#ToiletPaper shortage ??
Don't believe everything you see on TV! My Costco just now....,.#CoronaVirus https://t.co/FDviKzgFwd",Negative,shortage Dont believe everything see TV Costco
58,45010,"Western Australia, Australia",10-03-2020,"Come on guys, please be like bob!

#COVID2019 #panicbuying #coronavirus https://t.co/kMly3zNynR",Positive,Come guys please like bob
59,45011,London,10-03-2020,"If you have booked a ticket to an event as part of a package holiday you will be offered an alternative or a refund by your travel provider, if it has been cancelled due to #Coronavirus.

Check ABTA's consumer Q&amp;A at: https://t.co/oUB4MNmrNA

#COVID19 https://t.co/kMHJehS2JH",Positive,booked ticket event part package holiday offered alternative refund travel provider cancelled due Check ABTAs consumer QampA
60,45012,,10-03-2020,"Breaking: New Jersey officials urge residents to stock up for a two week #coronavirus quarantine ""Just in case""

#COVID19 
https://t.co/fc8imQ7TAR",Neutral,Breaking New Jersey officials urge residents stock two week quarantine case
61,45013,"Dallas, USA",10-03-2020,"4- Russia LNG will also suffer. The irony is, spot LNG prices were already at a record low because of the #Coronavirus and the declaration of force majeure by Chinese companies. 

Contracted LNG became the only way to make money until oil prices collapsed. It is a big hit https://t.co/ksFQ4uzqAn",Extremely Negative,4 Russia LNG also suffer irony spot LNG prices already record low declaration force majeure Chinese companies Contracted LNG became way make money oil prices collapsed big hit
62,45014,"Bowling Green, KY",10-03-2020,#BreakingNews #terrorists have watched closely as the #coronavirus spins its web. They now know what Americans value most. Wiping their ass! Citizens rush to buy toilet paper but neglect to stock up on food! Terrorists are holding our #toiletpaper  factories hostage! Film at 11! https://t.co/7maYfTGxJA,Extremely Negative,watched closely spins web know Americans value Wiping ass Citizens rush buy toilet paper neglect stock food Terrorists holding factories hostage Film 11
63,45015,Five offices across Canada,10-03-2020,"""As the novel #coronavirus (or #COVID19) continues to spread worldwide, its impact on international business operations, supply chains, travel, commodity prices, consumer confidence and business forecasts is becoming increasingly acute.""
#BLGPublication https://t.co/BDIedMNksK",Extremely Positive,novel continues spread worldwide impact international business operations supply chains travel commodity prices consumer confidence business forecasts becoming increasingly acute
64,45016,,10-03-2020,"Lower #Oil prices, lower #InterestRate, and some sort of fiscal #stimulus is great, but the consumer isn't the problem. The problem is fear of #coronavirus and fear of being quarantined for 14 days. That's why people stopped traveling. Not because of interest rates or taxes.",Extremely Negative,Lower prices lower sort fiscal great consumer isnt problem problem fear fear quarantined 14 days Thats people stopped traveling interest rates taxes
65,45017,,10-03-2020,Consumers have increased their online shopping due to coronavirus. https://t.co/5mYfz3RAD0 #retail #ecommerce #study #coronavirus https://t.co/Dz3H6zrWUT,Positive,Consumers increased online shopping due coronavirus
66,45018,"Lambeth, London",10-03-2020,"For those self indulging in thoughts of food, medicine and essential household goods stock piling. Like people on universal credit be stock piling FFS!!! #coronavirus",Negative,self indulging thoughts food medicine essential household goods stock piling Like people universal credit stock piling FFS
67,45019,"Wales, United Kingdom",10-03-2020,"Ok if #COVID2019 is nothing to panic about why is Italy imposing the biggest restrictions on the civilian population since WW2? 
How will the supermarkets be able to provide food if all the workers are told to stay at home? 
Same with any other Bussiness.",Positive,Ok nothing panic Italy imposing biggest restrictions civilian population since WW2 supermarkets able provide food workers told stay home Bussiness
68,45020,Washington DC,10-03-2020,"Trump said people must ""be vigilant,"" then concluded, ""Be calm. It's really working out. And: lot of good things are going to happen. The consumer is ready. The consumer is so powerful in our country with what we've done with tax cuts and regulation cuts and all of those things.""",Extremely Positive,Trump said people must vigilant concluded calm really working lot good things going happen consumer ready consumer powerful country weve done tax cuts regulation cuts things
69,45021,Edmonton Alberta,10-03-2020,"The top food items to stock up on in case you are quarantined 

#Coronavirus home stays are on peoples minds. Here are ten foods for stocking a pantry to support physical and mental health.

https://t.co/jrvxRIb57L",Positive,top food items stock case quarantined home stays peoples minds ten foods stocking pantry support physical mental health
70,45022,"Manchester, UK",10-03-2020,"Hi all! Please support your local Chinese Restaurant &amp; order some delicious food from them ? They are really struggling with the #COVID2019 panic, many are having to let staff go.

My favs in #Manchester are @sweetmandarin &amp; @blueeyedpandam4
Thank you! ??

#iwilleatwithyou https://t.co/jpDHxQMBTv",Positive,Hi Please support local Chinese Restaurant amp order delicious food really struggling panic many let staff go favs amp Thank
71,45023,Missouri,10-03-2020,Report any and all instances of price gouging or other COVID-19 scams to the Attorney Generals Consumer Protection Hotline at 800-392-8222 or online at https://t.co/YB2NrTWlfg. #coronavirus https://t.co/H3QqmM3BBl,Negative,Report instances price gouging COVID19 scams Attorney Generals Consumer Protection Hotline 8003928222 online
72,45024,,10-03-2020,"Russia by breaking rank from OPEC+ signalled an intent to take down their nemesis: American oil and gas industry.

#USElections2020 #COVID2019 #OilWar are steeped in markets least favorite thing: Uncertainty

But THIS TIME they won't succeed

Low Oil prices won't last long #OOTT https://t.co/TwKYxrDfoW",Extremely Positive,Russia breaking rank OPEC signalled intent take nemesis American oil gas industry steeped markets least favorite thing Uncertainty TIME wont succeed Low Oil prices wont last long
73,45025,España / USA,10-03-2020,"?80% of #Retail experts talk about a significant decrease in #store traffic due to #coronavirus ??
??Check our article???

https://t.co/eobzo0WOUS",Positive,80 experts talk significant decrease traffic due Check article
74,45026,,10-03-2020,Met with members of our distributive trade today to examine their preparation   for the impact of Covid 19. Based on reports our key manufacturers and importers have at least 2 to 3 mths of stock. We therefore do not expect that there will be any shortage in critical food items. https://t.co/jtFneBWuVy,Negative,Met members distributive trade today examine preparation impact Covid 19 Based reports key manufacturers importers least 2 3 mths stock therefore expect shortage critical food items
75,45027,New York City,10-03-2020,"Say you need to stock up on #food for a couple of weeks, here's tips on what to get and how to properly store those #perishable items. #coronavirus https://t.co/GnLgWqxpjl https://t.co/cCKvA2ktQ4",Neutral,Say need stock couple weeks heres tips get properly store items
76,45028,Kjipuktuk/Halifax,10-03-2020,"My genuine concern around #COVID2019 are folks who may have to isolate, but work low wage/hourly pay jobs - folks who are barely getting by, who DONT get paid sick days. Folks who cant stock up on weeks worth of food. Folks who cant NOT work. 

The working poor will suffer most",Extremely Negative,genuine concern around folks may isolate work low wagehourly pay jobs folks barely getting DONT get paid sick days Folks cant stock weeks worth food Folks cant work working poor suffer
77,45029,Australia,10-03-2020,"We could have as many as 60% of the world's population infected with the #Coronavirus by the end of the year.

Your prayers are useless, only science will come to the rescue. If this does happen, our world will not recover for years. Stock up your can food people. #doomsdayBunker",Negative,could many 60 worlds population infected end year prayers useless science come rescue happen world recover years Stock food people
78,45030,"Manchester, NH",10-03-2020,"IMPORTANT UPDATE! Our CEO Brian Beaulieu has broadened the scope of his COVID-19 webinar. Expect more on the oil prices drop, stock market developments, retail sales, and unfolding situations in China and Italy. Learn more and register: https://t.co/3muKagEw4p https://t.co/uOuyUfjRyW",Positive,IMPORTANT UPDATE CEO Brian Beaulieu broadened scope COVID19 webinar Expect oil prices drop stock market developments retail sales unfolding situations China Italy Learn register
79,45031,"Columbus, OH",10-03-2020,".@Target taking #coronavirus #COVID19 seriously. Stores are adding hours and staff to clean more rigorously, stopping food samples, bolstering order pick up and drive up, encouraging employees to stay home, adding more stock, and limiting # of items in purchases.

@wsyx6 https://t.co/p1EJDPvnyy",Positive,taking seriously Stores adding hours staff clean rigorously stopping food samples bolstering order pick drive encouraging employees stay home adding stock limiting items purchases
80,45032,US,10-03-2020,"CDC: Older folks should stock up on food, stay home amid #coronavirus - Business Insider  Wow! https://t.co/ygcPtE7F1L",Positive,CDC Older folks stock food stay home amid Business Insider Wow
81,45033,"Tampa, FL",10-03-2020,"If 1,000,000 get infected with a 2% death rate for the #coronavirus then 20,000 will die in USA.

If you dont have mo mney to stock up food, then find a fishing hole and supplies to hunt and fish!",Extremely Negative,1000000 get infected 2 death rate 20000 die USA dont mo mney stock food find fishing hole supplies hunt fish
